Name,Price,Category,Shop,Link
Cotton Softs Toilet Paper 12pk 3 Ply Posh,$ 6 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=808766&name=cotton-softs-toilet-paper-12pk-3-ply-posh
Essentials Toilet Paper 12pk White 2ply,$ 3 09,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=668930&name=essentials-toilet-paper-12pk-white-2ply
Dettol Protect 24hr Spray Cleaner Multipurpose Ocean Fresh,$ 5 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=309745&name=dettol-protect-24hr-spray-cleaner-multipurpose-ocean-fresh
Fluffy Fabric Freshener Cloud Nine Scent Booster,$ 10 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=205768&name=fluffy-fabric-freshener-cloud-nine-scent-booster
Palmolive Dishwash Liquid Original,$ 3 80,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=273026&name=palmolive-dishwash-liquid-original
Ajax Spray N Wipe Bathroom Cleaner Antibacterial Spray,$ 5 49,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=339362&name=ajax-spray-n-wipe-bathroom-cleaner-antibacterial-spray
Paseo Luxury Toilet Paper 24pk 3 Ply Value Pack,$ 15 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=443877&name=paseo-luxury-toilet-paper-24pk-3-ply-value-pack
Essentials Paper Towels Chubb,$ 4 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=336059&name=essentials-paper-towels-chubb
Purex Toilet Paper 6pk Mega Long White,$ 8 39,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=381440&name=purex-toilet-paper-6pk-mega-long-white
Corona Extra Beer Lager,$ 34 80,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=377553&name=corona-extra-beer-lager
Sorbent Toilet Paper 8pk Long Roll White 3 Ply,$ 9 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=802280&name=sorbent-toilet-paper-8pk-long-roll-white-3-ply
Speight'S Summit Beer Lager Ultra Low Carb,$ 46 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=705958&name=speights-summit-beer-lager-ultra-low-carb
Paseo Luxury Toilet Paper 8pk Long Roll White 3 Ply,$ 9 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=755527&name=paseo-luxury-toilet-paper-8pk-long-roll-white-3-ply
Isaac'S Cider Crisp Apple Low Sugar,$ 23 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=59909&name=isaacs-cider-crisp-apple-low-sugar
Cotton Softs Toilet Paper 24pk Family Pack White 2ply,$ 12 99,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=881157&name=cotton-softs-toilet-paper-24pk-family-pack-white-2ply
Dashwood Sauvignon Blanc,$ 13 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=120303&name=dashwood-sauvignon-blanc
Handee Paper Towels Ultra,$ 6 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=540336&name=handee-paper-towels-ultra
Lindauer Rose Prosecco,$ 16 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=189742&name=lindauer-rose-prosecco
Dettol Antibacterial 5 In 1 Washing Machine Cleaner Citrus Burst,$ 7 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=123033&name=dettol-antibacterial-5-in-1-washing-machine-cleaner-citrus-burst
The Ned Sauvignon Blanc,$ 16 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=909010&name=the-ned-sauvignon-blanc
Fluffy Fabric Freshener Wonderland Scent Booster,$ 10 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=206387&name=fluffy-fabric-freshener-wonderland-scent-booster
Asahi Beer Super Dry Lager,$ 24 90,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=742662&name=asahi-beer-super-dry-lager
Essentials Dishwash Liquid,$ 3 60,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=293487&name=essentials-dishwash-liquid
Heineken Beer Lager,$ 22 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=154045&name=heineken-beer-lager
Purex Toilet Paper 12pk Unscented 2ply,$ 8 39,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=264247&name=purex-toilet-paper-12pk-unscented-2ply
Heineken Beer Lager Alcohol Free 0.0%*,$ 26 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=700387&name=heineken-beer-lager-alcohol-free-00
Black Flag Fly Spray Rapid Kill Value Pack,$ 6 99,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=272585&name=black-flag-fly-spray-rapid-kill-value-pack
Speight'S Summit Beer Lager Ultra Low Carb,$ 24 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=659392&name=speights-summit-beer-lager-ultra-low-carb
Ocean Blue Smoked Salmon Hot Smoked Natural,$ 8 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=242742&name=ocean-blue-smoked-salmon-hot-smoked-natural
Cotton Softs Toilet Paper 6pk Double Length Posh 3 Ply,$ 6 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=252099&name=cotton-softs-toilet-paper-6pk-double-length-posh-3-ply
Heineken Beer Lager,$ 30 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=911926&name=heineken-beer-lager
